Node,RSSI
4011E,-35
4011E,-35
4011E,-35
4011E,-35
4011E,-35
4011E,-35
4011E,-35
4011E,-35
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-35
4011E,-35
4011E,-34
4011E,-34
4011E,-37
4011E,-37
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-36
4011E,-37
4011E,-37
4011E,-37
4011E,-37
