Node,RSSI
4011H,-40
4011H,-40
4011H,-40
4011H,-40
4011H,-36
4011H,-36
4011H,-40
4011H,-40
4011H,-40
4011H,-40
4011H,-40
4011H,-35
4011H,-35
4011H,-42
4011H,-42
4011H,-42
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-37
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-39
4011H,-39
4011H,-39
4011H,-39
4011H,-39
4011H,-39
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
4011H,-38
