Node,RSSI
4011I,-35
4011I,-35
4011I,-35
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-32
4011I,-37
4011I,-37
4011I,-37
4011I,-37
4011I,-37
4011I,-39
4011I,-39
4011I,-39
4011I,-42
4011I,-42
4011I,-42
4011I,-40
4011I,-40
4011I,-35
4011I,-35
4011I,-35
4011I,-38
4011I,-38
4011I,-38
4011I,-38
4011I,-38
4011I,-42
4011I,-42
4011I,-42
4011I,-42
4011I,-42
4011I,-40
4011I,-40
4011I,-35
4011I,-39
4011I,-39
4011I,-42
4011I,-42
4011I,-40
4011I,-42
