Node,RSSI
4011A,-38
4011A,-38
4011A,-38
4011A,-38
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-34
4011A,-34
4011A,-36
4011A,-36
4011A,-36
4011A,-36
4011A,-34
4011A,-34
4011A,-34
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-35
4011A,-37
4011A,-37
4011A,-37
4011A,-37
4011A,-35
4011A,-35
4011A,-34
4011A,-30
4011A,-30
4011A,-35
4011A,-35
4011A,-35
4011A,-34
4011A,-34
4011A,-34
4011A,-34
4011A,-36
4011A,-36
4011A,-36
4011A,-36
4011A,-36
