Node,RSSI
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-42
4011B,-42
4011B,-42
4011B,-42
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-38
4011B,-40
4011B,-40
4011B,-40
4011B,-40
4011B,-39
4011B,-39
4011B,-39
4011B,-39
4011B,-39
4011B,-39
4011B,-39
4011B,-39
4011B,-39
4011B,-39
4011B,-39
