Node,RSSI
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-38
4011D,-39
4011D,-39
4011D,-39
4011D,-36
4011D,-35
4011D,-35
4011D,-35
4011D,-35
4011D,-35
4011D,-35
4011D,-35
4011D,-40
4011D,-40
4011D,-40
4011D,-36
4011D,-40
4011D,-41
4011D,-41
4011D,-44
4011D,-43
4011D,-41
4011D,-40
4011D,-35
4011D,-35
4011D,-38
