Node,RSSI
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-72
4011G,-67
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-66
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-62
4011G,-59
4011G,-59
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-59
4011G,-59
4011G,-59
4011G,-59
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-58
4011G,-58
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-59
4011G,-59
4011G,-59
4011G,-59
4011G,-59
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-61
4011G,-61
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-62
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-62
4011G,-62
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-61
4011G,-61
4011G,-61
4011G,-61
4011G,-60
4011G,-60
4011G,-60
4011G,-60
4011G,-60
