Node,RSSI
4011I,-65
4011I,-65
4011I,-67
4011I,-67
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-72
4011I,-72
4011I,-72
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-77
4011I,-77
4011I,-76
4011I,-76
4011I,-78
4011I,-78
4011I,-78
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-71
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-72
4011I,-70
4011I,-70
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-73
4011I,-76
4011I,-76
4011I,-73
4011I,-73
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-66
4011I,-66
4011I,-66
4011I,-66
4011I,-66
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-66
4011I,-66
4011I,-66
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-70
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-68
4011I,-65
4011I,-65
4011I,-65
4011I,-65
4011I,-65
4011I,-65
4011I,-65
4011I,-65
4011I,-65
4011I,-65
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-67
4011I,-69
4011I,-69
4011I,-69
4011I,-68
4011I,-68
4011I,-68
4011I,-68
