Node,RSSI
4011J,-36
4011J,-36
4011J,-39
4011J,-39
4011J,-39
4011J,-39
4011J,-39
4011J,-39
4011J,-42
4011J,-42
4011J,-42
4011J,-38
4011J,-38
4011J,-38
4011J,-38
4011J,-38
4011J,-38
4011J,-38
4011J,-40
4011J,-47
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-54
4011J,-44
4011J,-44
4011J,-44
4011J,-44
4011J,-44
4011J,-44
4011J,-42
4011J,-41
4011J,-41
4011J,-41
4011J,-38
4011J,-38
4011J,-38
4011J,-38
4011J,-42
4011J,-42
4011J,-42
4011J,-42
4011J,-42
4011J,-42
