Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
400,0,-60,-44,-47,-20,-51,-50,-51,-58,-67,-62,-53,-56
400,0,-60,-44,-47,-20,-51,-50,-51,-58,-67,-62,-53,-56
400,0,-60,-49,-45,-20,-51,-50,-51,-58,-67,-62,-53,-56
400,0,-60,-49,-45,-20,-51,-50,-51,-58,-67,-62,-53,-56
400,0,-60,-49,-45,-20,-51,-50,-51,-58,-67,-62,-53,-56
400,0,-60,-46,-47,-20,-49,-50,-51,-60,-67,-62,-55,-58
400,0,-60,-46,-47,-20,-49,-50,-51,-60,-62,-62,-55,-58
400,0,-60,-46,-47,-20,-49,-50,-51,-60,-61,-62,-55,-58
400,0,-60,-46,-47,-20,-49,-50,-51,-60,-61,-62,-55,-63
400,0,-60,-46,-47,-20,-49,-51,-50,-60,-61,-62,-55,-63
400,0,-60,-46,-47,-20,-49,-51,-54,-60,-64,-62,-58,-63
400,0,-56,-46,-47,-20,-49,-51,-52,-60,-64,-62,-58,-63
400,0,-56,-47,-46,-20,-49,-49,-52,-60,-64,-62,-58,-63
400,0,-56,-47,-45,-20,-49,-49,-52,-60,-64,-62,-58,-63
400,0,-56,-47,-47,-20,-48,-50,-52,-59,-64,-59,-58,-56
400,0,-56,-47,-47,-20,-51,-50,-52,-59,-64,-59,-56,-56
400,0,-56,-47,-47,-20,-47,-50,-52,-59,-64,-59,-55,-56
400,0,-56,-47,-47,-20,-47,-49,-52,-58,-64,-59,-55,-55
400,0,-56,-50,-47,-20,-47,-49,-52,-59,-64,-59,-55,-57
400,0,-56,-47,-47,-20,-47,-49,-52,-59,-64,-59,-55,-57
400,0,-56,-47,-47,-20,-47,-49,-52,-59,-64,-59,-55,-57
400,0,-56,-47,-47,-20,-47,-49,-52,-59,-64,-59,-55,-57
400,0,-56,-50,-47,-20,-47,-49,-52,-59,-64,-59,-55,-57
400,0,-56,-47,-47,-20,-47,-49,-51,-59,-64,-59,-55,-57
400,0,-56,-51,-47,-20,-48,-49,-51,-57,-64,-62,-55,-57
400,0,-56,-51,-47,-20,-48,-49,-52,-57,-64,-62,-55,-57
400,0,-56,-51,-47,-20,-48,-49,-54,-57,-69,-62,-54,-57
400,0,-56,-51,-44,-20,-48,-50,-54,-59,-69,-62,-54,-57
400,0,-56,-47,-44,-20,-48,-50,-54,-59,-69,-62,-55,-57
400,0,-61,-50,-44,-20,-48,-50,-53,-59,-69,-62,-53,-56
400,0,-61,-50,-44,-20,-48,-50,-53,-59,-69,-62,-53,-56
400,0,-61,-46,-44,-20,-48,-50,-53,-62,-69,-62,-53,-56
400,0,-58,-47,-44,-20,-50,-50,-53,-62,-65,-62,-56,-56
400,0,-58,-47,-44,-20,-50,-50,-53,-58,-65,-62,-56,-56
400,0,-58,-47,-44,-20,-50,-49,-53,-58,-65,-62,-52,-57
400,0,-58,-47,-44,-20,-50,-49,-53,-58,-65,-62,-51,-55
400,0,-58,-47,-46,-20,-50,-49,-51,-60,-65,-55,-51,-55
400,0,-58,-47,-46,-20,-50,-49,-51,-60,-65,-55,-51,-55
400,0,-58,-47,-46,-20,-48,-49,-51,-60,-65,-55,-51,-55
400,0,-58,-47,-44,-20,-48,-50,-51,-60,-65,-55,-51,-55
400,0,-58,-48,-44,-20,-48,-49,-51,-60,-65,-55,-51,-55
400,0,-58,-48,-44,-20,-48,-49,-51,-60,-65,-55,-55,-56
400,0,-58,-48,-44,-20,-48,-49,-51,-60,-65,-55,-57,-56
400,0,-58,-48,-44,-20,-48,-49,-51,-60,-65,-55,-57,-56
400,0,-58,-48,-44,-20,-48,-49,-51,-60,-65,-56,-59,-55
400,0,-58,-48,-44,-20,-48,-49,-51,-61,-75,-56,-56,-55
400,0,-58,-48,-44,-20,-48,-49,-51,-61,-75,-58,-56,-56
400,0,-58,-48,-44,-20,-48,-49,-51,-61,-75,-58,-56,-56
400,0,-58,-48,-44,-20,-48,-49,-51,-61,-75,-58,-56,-56
400,0,-58,-48,-44,-20,-48,-49,-51,-61,-62,-58,-56,-54
400,0,-58,-48,-44,-20,-48,-49,-51,-61,-62,-59,-56,-54
400,0,-58,-47,-44,-20,-48,-49,-51,-61,-62,-59,-56,-54
400,0,-58,-47,-44,-20,-48,-49,-51,-61,-62,-59,-56,-54
400,0,-58,-47,-45,-20,-48,-49,-51,-61,-62,-59,-53,-54
400,0,-57,-47,-45,-20,-48,-49,-51,-61,-62,-59,-55,-54
400,0,-57,-47,-45,-20,-48,-49,-52,-61,-62,-59,-55,-51
400,0,-57,-47,-45,-20,-48,-49,-52,-61,-62,-59,-55,-51
