P.5os_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
3.5,1,-58,-50,-49,-49,-61,-63,-54,-58,-61,-59,-61,-52
3.5,1,-58,-50,-49,-49,-61,-63,-54,-58,-61,-59,-61,-52
3.5,1,-56,-50,-47,-49,-64,-63,-54,-58,-61,-59,-61,-52
3.5,1,-55,-50,-47,-49,-64,-63,-54,-58,-61,-59,-61,-52
3.5,1,-55,-50,-47,-49,-64,-63,-54,-58,-61,-59,-61,-52
3.5,1,-55,-50,-47,-49,-64,-63,-54,-58,-64,-59,-61,-52
3.5,1,-59,-50,-46,-51,-64,-61,-54,-58,-62,-59,-61,-52
3.5,1,-59,-51,-46,-51,-64,-61,-52,-58,-62,-59,-61,-52
3.5,1,-59,-51,-46,-51,-64,-61,-52,-58,-62,-57,-61,-52
3.5,1,-59,-51,-45,-51,-49,-61,-52,-60,-62,-57,-61,-53
3.5,1,-59,-51,-45,-52,-49,-58,-52,-60,-62,-57,-61,-57
3.5,1,-59,-51,-45,-52,-49,-59,-52,-60,-62,-57,-63,-57
3.5,1,-59,-51,-45,-52,-49,-58,-52,-60,-62,-57,-63,-55
3.5,1,-59,-51,-47,-51,-49,-58,-52,-60,-61,-58,-63,-55
3.5,1,-59,-50,-47,-51,-49,-58,-52,-60,-60,-57,-63,-55
3.5,1,-59,-50,-47,-50,-49,-58,-52,-60,-60,-60,-63,-51
3.5,1,-60,-50,-45,-51,-57,-57,-52,-59,-60,-59,-70,-52
3.5,1,-60,-50,-45,-51,-57,-58,-52,-59,-60,-59,-66,-52
3.5,1,-58,-50,-45,-50,-57,-58,-52,-59,-60,-59,-67,-52
3.5,1,-58,-50,-45,-50,-57,-58,-52,-59,-60,-59,-67,-53
3.5,1,-58,-50,-45,-50,-57,-58,-52,-60,-60,-59,-67,-53
3.5,1,-58,-50,-45,-50,-52,-58,-52,-60,-60,-59,-67,-53
3.5,1,-58,-50,-45,-50,-53,-58,-52,-62,-60,-59,-67,-54
3.5,1,-58,-50,-45,-50,-53,-58,-52,-63,-60,-59,-67,-54
3.5,1,-58,-50,-45,-50,-53,-58,-53,-62,-60,-57,-67,-54
3.5,1,-58,-50,-45,-50,-53,-58,-53,-62,-60,-57,-67,-54
3.5,1,-61,-50,-45,-50,-53,-58,-53,-62,-60,-57,-67,-53
3.5,1,-59,-50,-45,-50,-53,-58,-53,-62,-60,-57,-67,-53
3.5,1,-60,-50,-45,-50,-58,-58,-53,-62,-60,-57,-70,-53
3.5,1,-60,-50,-45,-50,-54,-58,-53,-62,-60,-57,-70,-53
3.5,1,-60,-50,-45,-51,-54,-58,-53,-62,-60,-56,-70,-53
3.5,1,-60,-50,-45,-51,-54,-58,-53,-62,-60,-56,-69,-52
3.5,1,-60,-50,-45,-52,-54,-58,-53,-62,-60,-56,-67,-52
3.5,1,-60,-50,-45,-52,-54,-58,-53,-62,-60,-56,-67,-52
3.5,1,-60,-50,-45,-52,-54,-57,-53,-61,-60,-56,-67,-52
3.5,1,-58,-50,-45,-52,-54,-57,-54,-59,-60,-58,-68,-53
3.5,1,-56,-50,-45,-51,-54,-63,-54,-59,-60,-58,-68,-54
3.5,1,-56,-50,-45,-51,-54,-63,-54,-60,-60,-58,-68,-54
3.5,1,-55,-50,-44,-51,-54,-63,-54,-60,-63,-57,-66,-54
3.5,1,-55,-50,-44,-51,-51,-63,-54,-60,-63,-57,-66,-54
3.5,1,-55,-50,-44,-51,-51,-63,-54,-60,-63,-57,-65,-56
