Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
1.5,2,-61,-55,-53,-57,-63,-63,-60,-63,-63,-64,-55,-56
1.5,2,-57,-55,-53,-57,-63,-65,-63,-61,-63,-64,-55,-62
1.5,2,-57,-55,-53,-57,-63,-65,-63,-61,-63,-64,-55,-62
1.5,2,-55,-55,-53,-57,-63,-65,-63,-61,-63,-63,-55,-62
1.5,2,-55,-51,-53,-57,-63,-65,-63,-61,-63,-77,-55,-62
1.5,2,-55,-51,-53,-57,-63,-65,-63,-65,-63,-77,-53,-62
1.5,2,-55,-51,-53,-57,-63,-65,-63,-65,-55,-77,-53,-62
1.5,2,-55,-51,-52,-64,-63,-65,-63,-65,-55,-77,-53,-55
1.5,2,-55,-53,-52,-64,-63,-65,-63,-65,-55,-77,-53,-55
1.5,2,-55,-53,-52,-64,-63,-65,-63,-65,-55,-77,-53,-55
1.5,2,-51,-53,-52,-64,-63,-60,-63,-65,-55,-77,-53,-55
1.5,2,-51,-53,-52,-64,-63,-60,-63,-65,-55,-77,-53,-55
1.5,2,-50,-53,-52,-62,-63,-60,-63,-65,-55,-77,-53,-55
1.5,2,-50,-53,-52,-62,-63,-60,-63,-65,-55,-77,-53,-55
1.5,2,-50,-53,-52,-62,-63,-59,-63,-65,-55,-77,-53,-55
1.5,2,-51,-53,-52,-62,-63,-59,-66,-65,-55,-77,-51,-55
1.5,2,-51,-53,-52,-62,-63,-59,-66,-65,-55,-77,-51,-55
1.5,2,-51,-53,-52,-62,-63,-59,-66,-74,-55,-77,-51,-55
1.5,2,-51,-53,-52,-62,-63,-59,-66,-74,-55,-77,-51,-57
1.5,2,-51,-53,-52,-62,-63,-59,-68,-74,-55,-77,-51,-57
1.5,2,-51,-53,-52,-62,-63,-59,-68,-74,-55,-77,-51,-57
1.5,2,-51,-53,-52,-62,-63,-59,-68,-74,-62,-77,-51,-57
1.5,2,-51,-55,-52,-64,-63,-59,-68,-74,-62,-77,-51,-57
1.5,2,-51,-55,-52,-64,-63,-59,-68,-74,-62,-77,-51,-57
1.5,2,-51,-55,-52,-64,-63,-59,-68,-74,-62,-77,-45,-57
1.5,2,-51,-55,-52,-64,-63,-59,-68,-74,-62,-77,-45,-57
1.5,2,-51,-55,-52,-64,-67,-59,-68,-74,-65,-77,-45,-57
1.5,2,-51,-54,-51,-64,-67,-59,-68,-74,-62,-77,-53,-57
1.5,2,-51,-54,-51,-64,-67,-59,-68,-74,-62,-77,-53,-57
1.5,2,-51,-54,-51,-64,-67,-59,-68,-74,-62,-61,-53,-57
1.5,2,-51,-54,-51,-64,-67,-59,-68,-74,-62,-61,-53,-57
1.5,2,-51,-54,-51,-64,-67,-59,-68,-74,-62,-62,-53,-57
1.5,2,-49,-54,-51,-62,-67,-56,-68,-74,-62,-59,-51,-57
1.5,2,-49,-54,-51,-62,-67,-55,-68,-74,-62,-62,-51,-57
1.5,2,-49,-54,-51,-62,-67,-55,-68,-74,-62,-62,-51,-57
1.5,2,-49,-54,-51,-62,-67,-55,-68,-74,-62,-62,-51,-57
1.5,2,-49,-54,-51,-62,-67,-55,-68,-74,-62,-58,-51,-57
1.5,2,-49,-53,-54,-62,-66,-60,-68,-69,-61,-58,-51,-57
1.5,2,-49,-53,-54,-62,-67,-60,-68,-69,-61,-58,-51,-57
1.5,2,-49,-53,-51,-62,-67,-60,-68,-69,-61,-58,-50,-57
