Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
134,0,-57,-15,-47,-48,-49,-55,-65,-61,-66,-52,-52,-62
134,0,-57,-15,-47,-48,-49,-55,-65,-61,-66,-54,-50,-62
134,0,-57,-15,-47,-48,-49,-55,-65,-61,-66,-54,-50,-62
134,0,-55,-15,-47,-48,-44,-55,-65,-63,-66,-54,-52,-69
134,0,-55,-15,-47,-48,-44,-55,-65,-63,-66,-54,-52,-69
134,0,-55,-15,-46,-51,-48,-55,-62,-63,-61,-53,-52,-68
134,0,-55,-15,-46,-48,-51,-55,-62,-63,-61,-53,-52,-68
134,0,-55,-15,-46,-48,-51,-55,-62,-63,-61,-53,-50,-68
134,0,-55,-15,-46,-44,-51,-55,-62,-63,-61,-55,-50,-68
134,0,-55,-15,-46,-44,-48,-55,-62,-63,-62,-55,-51,-73
134,0,-55,-15,-46,-44,-48,-55,-62,-63,-62,-55,-51,-73
134,0,-55,-15,-46,-44,-48,-55,-62,-65,-62,-55,-51,-65
134,0,-55,-15,-46,-44,-48,-55,-62,-65,-62,-55,-51,-65
134,0,-55,-15,-46,-44,-48,-55,-62,-65,-62,-55,-51,-65
134,0,-51,-15,-46,-44,-48,-55,-64,-65,-59,-55,-50,-65
134,0,-50,-15,-46,-44,-51,-52,-61,-66,-59,-55,-50,-65
134,0,-48,-15,-46,-44,-51,-52,-61,-66,-59,-54,-50,-65
134,0,-48,-15,-46,-44,-47,-52,-61,-66,-59,-54,-50,-65
134,0,-48,-15,-47,-44,-47,-54,-61,-66,-64,-54,-50,-65
134,0,-48,-15,-47,-44,-48,-51,-61,-66,-64,-54,-50,-65
134,0,-48,-15,-47,-44,-48,-51,-61,-66,-64,-54,-50,-65
134,0,-47,-15,-47,-47,-48,-51,-61,-66,-61,-54,-50,-65
134,0,-47,-15,-47,-47,-47,-51,-61,-66,-61,-54,-50,-65
134,0,-47,-15,-48,-47,-47,-51,-61,-66,-61,-51,-50,-65
134,0,-47,-15,-48,-47,-47,-51,-61,-66,-61,-54,-50,-65
134,0,-51,-15,-48,-47,-47,-51,-62,-61,-61,-54,-54,-65
134,0,-51,-15,-48,-47,-47,-51,-62,-61,-61,-54,-50,-65
134,0,-51,-15,-48,-47,-47,-51,-62,-61,-61,-54,-51,-65
134,0,-47,-15,-48,-47,-47,-51,-62,-61,-61,-52,-46,-65
134,0,-47,-15,-48,-47,-47,-51,-62,-61,-61,-52,-52,-65
134,0,-47,-15,-48,-47,-47,-51,-62,-61,-64,-52,-52,-65
134,0,-47,-15,-48,-47,-47,-51,-62,-61,-64,-52,-52,-64
134,0,-47,-15,-48,-47,-47,-51,-62,-61,-64,-55,-52,-64
134,0,-47,-15,-48,-47,-47,-51,-62,-61,-64,-56,-52,-64
134,0,-47,-15,-47,-47,-47,-51,-62,-61,-64,-56,-52,-64
134,0,-47,-15,-47,-47,-47,-51,-62,-61,-64,-56,-52,-64
134,0,-47,-15,-47,-47,-47,-51,-62,-61,-64,-56,-50,-64
134,0,-58,-15,-47,-47,-47,-51,-62,-61,-64,-55,-50,-64
134,0,-58,-15,-47,-47,-48,-51,-62,-61,-64,-55,-50,-63
134,0,-58,-15,-48,-47,-48,-51,-62,-61,-64,-55,-50,-63
134,0,-58,-15,-48,-48,-47,-51,-62,-61,-64,-55,-50,-62
134,0,-58,-15,-48,-48,-47,-51,-62,-61,-64,-55,-50,-62
134,0,-58,-15,-48,-48,-47,-51,-62,-61,-64,-55,-50,-62
134,0,-58,-15,-48,-48,-47,-51,-62,-61,-67,-55,-50,-62
134,0,-58,-15,-48,-48,-47,-51,-62,-61,-67,-58,-50,-54
134,0,-58,-15,-48,-48,-47,-51,-62,-61,-67,-58,-52,-54
134,0,-58,-15,-48,-49,-47,-51,-61,-61,-67,-58,-52,-54
134,0,-58,-15,-54,-49,-53,-51,-61,-61,-67,-58,-50,-54
134,0,-47,-15,-54,-52,-53,-51,-61,-61,-67,-58,-50,-54
134,0,-48,-15,-54,-51,-53,-65,-61,-61,-67,-58,-50,-54
134,0,-48,-15,-61,-51,-53,-65,-61,-61,-67,-58,-50,-54
134,0,-48,-15,-58,-51,-55,-65,-59,-61,-67,-58,-50,-54
134,0,-48,-15,-57,-51,-55,-65,-59,-61,-66,-58,-50,-54
134,0,-48,-15,-60,-51,-55,-65,-59,-61,-66,-58,-50,-54
134,0,-48,-15,-60,-51,-55,-65,-59,-61,-66,-62,-50,-54
134,0,-47,-15,-60,-56,-55,-65,-59,-61,-66,-62,-50,-54
134,0,-47,-15,-60,-54,-55,-65,-59,-61,-66,-62,-50,-54
134,0,-47,-16,-60,-54,-55,-65,-59,-61,-66,-62,-50,-54
134,0,-47,-16,-60,-54,-55,-66,-59,-65,-66,-62,-50,-56
134,0,-47,-16,-60,-54,-55,-66,-59,-65,-66,-62,-50,-58
134,0,-47,-16,-60,-54,-55,-66,-63,-65,-58,-62,-50,-58
134,0,-47,-16,-60,-54,-55,-66,-63,-65,-58,-62,-50,-58
134,0,-47,-15,-59,-54,-53,-66,-63,-65,-58,-62,-50,-58
134,0,-47,-15,-59,-54,-53,-66,-63,-65,-58,-62,-50,-58
