Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
1.5,3,-53,-57,-66,-57,-66,-60,-60,-51,-65,-51,-53,-63
1.5,3,-58,-57,-66,-57,-66,-62,-57,-51,-65,-51,-57,-55
1.5,3,-58,-57,-66,-57,-60,-62,-57,-51,-65,-51,-57,-61
1.5,3,-58,-57,-66,-58,-60,-62,-57,-51,-65,-51,-55,-61
1.5,3,-58,-57,-66,-58,-60,-70,-57,-51,-65,-51,-55,-61
1.5,3,-58,-57,-66,-54,-60,-70,-57,-51,-65,-51,-55,-61
1.5,3,-58,-54,-62,-54,-56,-70,-57,-53,-65,-51,-55,-61
1.5,3,-58,-54,-60,-54,-56,-70,-58,-53,-65,-51,-55,-61
1.5,3,-58,-54,-59,-58,-56,-70,-58,-52,-65,-51,-55,-61
1.5,3,-58,-58,-57,-58,-61,-70,-58,-53,-65,-51,-60,-61
1.5,3,-58,-58,-67,-57,-61,-70,-58,-51,-65,-51,-57,-55
1.5,3,-58,-58,-67,-57,-61,-53,-58,-51,-65,-51,-55,-55
1.5,3,-58,-58,-67,-57,-61,-53,-58,-51,-65,-51,-55,-55
1.5,3,-58,-58,-65,-57,-61,-61,-58,-51,-65,-51,-55,-55
1.5,3,-58,-58,-66,-57,-61,-61,-58,-51,-65,-51,-55,-55
1.5,3,-58,-58,-61,-57,-61,-61,-58,-51,-65,-51,-55,-55
1.5,3,-58,-58,-61,-61,-61,-61,-58,-51,-65,-51,-60,-55
1.5,3,-58,-58,-62,-61,-61,-61,-58,-51,-65,-51,-60,-55
1.5,3,-68,-76,-62,-61,-61,-61,-58,-51,-65,-51,-60,-55
1.5,3,-77,-76,-62,-61,-61,-61,-58,-64,-65,-51,-60,-55
1.5,3,-77,-83,-72,-68,-61,-61,-58,-70,-65,-51,-60,-55
1.5,3,-77,-83,-72,-68,-61,-61,-58,-70,-65,-51,-60,-55
1.5,3,-77,-83,-72,-68,-61,-61,-58,-64,-65,-51,-60,-62
1.5,3,-77,-68,-72,-64,-61,-61,-58,-64,-65,-51,-54,-62
1.5,3,-77,-68,-75,-64,-65,-62,-58,-64,-65,-51,-54,-62
1.5,3,-77,-68,-75,-65,-65,-62,-58,-64,-65,-51,-54,-62
1.5,3,-77,-68,-75,-65,-65,-62,-58,-64,-65,-51,-54,-62
1.5,3,-77,-68,-75,-65,-65,-62,-58,-64,-65,-51,-54,-62
1.5,3,-77,-68,-75,-66,-65,-59,-58,-64,-65,-51,-54,-62
1.5,3,-77,-68,-75,-65,-72,-59,-58,-66,-65,-51,-54,-62
1.5,3,-77,-68,-75,-65,-72,-59,-58,-66,-65,-51,-54,-63
1.5,3,-67,-67,-80,-66,-67,-59,-63,-66,-65,-51,-56,-63
1.5,3,-67,-67,-80,-66,-67,-59,-63,-66,-65,-51,-56,-63
1.5,3,-67,-67,-80,-65,-67,-59,-63,-66,-65,-51,-56,-63
1.5,3,-67,-67,-80,-65,-67,-61,-63,-66,-65,-51,-56,-63
1.5,3,-67,-67,-80,-65,-67,-61,-63,-66,-65,-51,-56,-63
